6657,9953
5104,9496
6011,1217
7343,4674
3725,2862
2979,7970
1851,999
7482,6673
190,1055
7005,7256
3302,2184
4263,5580
4260,4333
5214,1205
6282,3201
1887,4872
8207,755
5043,811
5449,4862
879,5613
3058,7908
246,3178
2926,9871
4565,3209
7894,4750
6963,8145
53,6922
5116,7693
1205,3492
8727,9706
1385,1726
8262,9228
8776,2506
8703,1713
1269,9035
3010,9941
3594,1224
5621,368
9812,3306
7282,9176
9667,6313
946,5789
2662,1001
4720,768
609,7434
4914,8737
6551,896
3201,4682
6827,6078
4385,5265
9246,796
1663,5916
646,6936
2752,6693
5842,2585
7542,2843
1830,3724
1983,8791
7011,7330
1049,1549
1644,7395
4518,1938
7445,3449
2405,657
8343,4689
2082,4318
6751,7642
1258,2114
4030,561
2183,4545
7293,5018
6870,3960
2874,2920
4277,4900
8291,1880
6634,1394
3715,7810
2747,6922
4978,9281
4397,2824
4944,6690
2484,358
373,9166
8610,1212
7348,3737
1835,3678
2327,855
2973,1538
1982,6763
3666,8753
9504,9421
4986,4267
1095,9557
6177,5999
8166,7368
5108,5552
8587,9409
2762,8540
4217,1258
6943,4923
954,5492
9852,3039
7796,1529
4455,2036
512,6322
7542,3621
6218,3133
6007,3708
5186,6620
2478,4138
7322,1524
663,930
9577,6137
2203,5586
9987,8485
2950,3792
4211,5256
942,1955
2545,3903
4462,3454
1069,1775
9872,7904
9294,4005
8001,5759
6462,4803
7292,9496
1695,3479
6442,5502
5686,9927
4161,7514
1604,4444
1776,3085
2076,8161
8587,5395
6681,1687
9363,5639
1367,7686
428,1061
6065,7780
4231,5088
8406,8901
6550,609
8289,5897
5245,4496
4150,2827
6506,1939
3828,902
693,8639
1228,4038
5912,9019
7636,9128
2069,4730
4744,4789
9274,2565
7199,3143
4208,4339
5556,6858
3231,2356
1184,4146
3365,2070
9086,6846
308,6732
8215,1359
2933,1816
1171,2818
2919,8758
6886,3106
3032,7328
3881,5433
922,9887
4923,6723
7199,910
8840,5426
3440,1932
5520,7514
5676,6915
5821,68
1019,9632
1774,8961
1792,2091
2149,5374
7836,7052
470,9180
6199,2266
718,831
2692,427
8581,1512
5981,320
4159,458
9359,4926
6393,4091
